bus_id,component_id
sub_osm_37_F2_B5,19
sub_osm_37_F3_B0,19
sub_osm_37_F3_B1,19
sub_osm_37_F3_B2,19
sub_osm_37_F3_B3,19
sub_osm_37_F3_B4,19
sub_osm_37_F3_B5,19
sub_osm_60_F0_B0,0
sub_osm_60_F0_B1,0
sub_osm_60_F0_B2,0
sub_osm_60_F0_B3,0
sub_osm_60_F0_B4,0
sub_osm_60_F0_B5,0
sub_osm_60_F1_B0,0
sub_osm_60_F1_B1,0
sub_osm_60_F1_B2,0
sub_osm_60_F1_B3,0
sub_osm_60_F1_B4,0
sub_osm_60_F1_B5,0
sub_osm_60_F2_B0,0
sub_osm_60_F2_B1,0
sub_osm_60_F2_B2,0
sub_osm_60_F2_B3,0
sub_osm_60_F2_B4,0
sub_osm_60_F2_B5,0
sub_osm_60_F3_B0,0
sub_osm_60_F3_B1,0
sub_osm_60_F3_B2,0
sub_osm_60_F3_B3,0
sub_osm_60_F3_B4,0
sub_osm_60_F3_B5,0
sub_allen_substation_85_F0_B0,6
sub_allen_substation_85_F0_B1,6
sub_allen_substation_85_F0_B2,6
sub_allen_substation_85_F0_B3,6
sub_allen_substation_85_F0_B4,6
sub_allen_substation_85_F0_B5,6
sub_allen_substation_85_F1_B0,6
sub_allen_substation_85_F1_B1,6
sub_allen_substation_85_F1_B2,6
sub_allen_substation_85_F1_B3,6
sub_allen_substation_85_F1_B4,6
sub_allen_substation_85_F1_B5,6
sub_allen_substation_85_F2_B0,6
sub_allen_substation_85_F2_B1,6
sub_allen_substation_85_F2_B2,6
sub_allen_substation_85_F2_B3,6
sub_allen_substation_85_F2_B4,6
sub_allen_substation_85_F2_B5,6
sub_allen_substation_85_F3_B0,6
sub_allen_substation_85_F3_B1,6
sub_allen_substation_85_F3_B2,6
sub_allen_substation_85_F3_B3,6
sub_allen_substation_85_F3_B4,6
sub_allen_substation_85_F3_B5,6
sub_cabacungan_cable_terminal_36_F0_B0,0
sub_cabacungan_cable_terminal_36_F0_B1,0
sub_cabacungan_cable_terminal_36_F0_B2,0
sub_cabacungan_cable_terminal_36_F0_B3,0
sub_cabacungan_cable_terminal_36_F0_B4,0
sub_cabacungan_cable_terminal_36_F0_B5,0
sub_cabacungan_cable_terminal_36_F2_B0,0
sub_cabacungan_cable_terminal_36_F2_B1,0
sub_cabacungan_cable_terminal_36_F2_B2,0
sub_cabacungan_cable_terminal_36_F2_B3,0
sub_cabacungan_cable_terminal_36_F2_B4,0
sub_cabacungan_cable_terminal_36_F2_B5,0
sub_cabacungan_cable_terminal_36_F3_B0,0
sub_cabacungan_cable_terminal_36_F3_B1,0
sub_cabacungan_cable_terminal_36_F3_B2,0
sub_cabacungan_cable_terminal_36_F3_B3,0
sub_cabacungan_cable_terminal_36_F3_B4,0
sub_cabacungan_cable_terminal_36_F3_B5,0
sub_osm_35_F0_B0,18
sub_osm_35_F0_B1,18
sub_osm_35_F0_B2,18
sub_osm_35_F0_B3,18
sub_osm_35_F0_B4,18
sub_osm_35_F0_B5,18
sub_osm_35_F1_B0,18
sub_osm_35_F1_B1,18
sub_osm_35_F1_B2,18
sub_osm_35_F1_B3,18
sub_osm_35_F1_B4,18
sub_osm_35_F1_B5,18
sub_osm_35_F2_B0,18
sub_osm_35_F2_B1,18
sub_osm_35_F2_B2,18
sub_osm_35_F2_B3,18
sub_osm_35_F2_B4,18
sub_osm_35_F2_B5,18
sub_osm_35_F3_B0,18
sub_osm_35_F3_B1,18
sub_osm_35_F3_B2,18
sub_osm_35_F3_B3,18
sub_osm_35_F3_B4,18
sub_osm_35_F3_B5,18
sub_national_grid_corporation_of_the_philippines_34_F0_B0,0
sub_national_grid_corporation_of_the_philippines_34_F0_B1,0
sub_national_grid_corporation_of_the_philippines_34_F0_B2,0
sub_national_grid_corporation_of_the_philippines_34_F0_B3,0
sub_national_grid_corporation_of_the_philippines_34_F0_B4,0
sub_national_grid_corporation_of_the_philippines_34_F0_B5,0
sub_national_grid_corporation_of_the_philippines_34_F1_B0,0
sub_national_grid_corporation_of_the_philippines_34_F1_B1,0
sub_national_grid_corporation_of_the_philippines_34_F1_B2,0
sub_national_grid_corporation_of_the_philippines_34_F1_B3,0
sub_national_grid_corporation_of_the_philippines_34_F1_B4,0
sub_national_grid_corporation_of_the_philippines_34_F1_B5,0
sub_national_grid_corporation_of_the_philippines_34_F3_B0,0
sub_national_grid_corporation_of_the_philippines_34_F3_B1,0
sub_national_grid_corporation_of_the_philippines_34_F3_B2,0
sub_national_grid_corporation_of_the_philippines_34_F3_B3,0
sub_national_grid_corporation_of_the_philippines_34_F3_B4,0
sub_national_grid_corporation_of_the_philippines_34_F3_B5,0
sub_paranas_substation_47_F0_B0,0
sub_paranas_substation_47_F0_B1,0
sub_paranas_substation_47_F0_B2,0
sub_paranas_substation_47_F0_B3,0
sub_paranas_substation_47_F0_B4,0
sub_paranas_substation_47_F0_B5,0
sub_paranas_substation_47_F1_B0,0
sub_paranas_substation_47_F1_B1,0
sub_paranas_substation_47_F1_B2,0
sub_paranas_substation_47_F1_B3,0
sub_paranas_substation_47_F1_B4,0
sub_paranas_substation_47_F1_B5,0
sub_paranas_substation_47_F2_B0,0
sub_paranas_substation_47_F2_B1,0
sub_paranas_substation_47_F2_B2,0
sub_paranas_substation_47_F2_B3,0
sub_paranas_substation_47_F2_B4,0
sub_paranas_substation_47_F2_B5,0
sub_paranas_substation_47_F3_B0,0
sub_paranas_substation_47_F3_B1,0
sub_paranas_substation_47_F3_B2,0
sub_paranas_substation_47_F3_B3,0
sub_paranas_substation_47_F3_B4,0
sub_paranas_substation_47_F3_B5,0
sub_bagolibas_substation_48_F0_B0,40
sub_bagolibas_substation_48_F0_B1,40
sub_bagolibas_substation_48_F0_B2,40
sub_bagolibas_substation_48_F0_B3,40
sub_bagolibas_substation_48_F0_B4,40
sub_bagolibas_substation_48_F0_B5,40
sub_bagolibas_substation_48_F1_B0,40
sub_bagolibas_substation_48_F1_B1,40
sub_bagolibas_substation_48_F2_B0,40
sub_bagolibas_substation_48_F2_B1,40
sub_bagolibas_substation_48_F2_B2,40
sub_bagolibas_substation_48_F2_B3,40
sub_bagolibas_substation_48_F2_B4,40
sub_bagolibas_substation_48_F2_B5,40
sub_bagolibas_substation_48_F3_B0,40
sub_bagolibas_substation_48_F3_B1,40
sub_bagolibas_substation_48_F3_B2,40
sub_bagolibas_substation_48_F3_B3,40
sub_bagolibas_substation_48_F3_B4,40
sub_bagolibas_substation_48_F3_B5,40
sub_catbalogan_sub_station_1_F0_B0,7
sub_catbalogan_sub_station_1_F0_B1,7
sub_catbalogan_sub_station_1_F0_B2,7
sub_catbalogan_sub_station_1_F0_B3,7
sub_catbalogan_sub_station_1_F0_B4,7
sub_catbalogan_sub_station_1_F0_B5,7
sub_catbalogan_sub_station_1_F1_B0,7
sub_catbalogan_sub_station_1_F1_B1,7
sub_catbalogan_sub_station_1_F1_B2,7
sub_catbalogan_sub_station_1_F1_B3,7
sub_catbalogan_sub_station_1_F1_B4,7
sub_catbalogan_sub_station_1_F1_B5,7
sub_catbalogan_sub_station_1_F2_B0,7
sub_catbalogan_sub_station_1_F2_B1,7
sub_catbalogan_sub_station_1_F2_B2,7
sub_catbalogan_sub_station_1_F2_B3,7
sub_catbalogan_sub_station_1_F2_B4,7
sub_catbalogan_sub_station_1_F2_B5,7
sub_catbalogan_sub_station_1_F3_B0,7
sub_catbalogan_sub_station_1_F3_B1,7
sub_catbalogan_sub_station_1_F3_B2,7
sub_catbalogan_sub_station_1_F3_B3,7
sub_catbalogan_sub_station_1_F3_B4,7
sub_catbalogan_sub_station_1_F3_B5,7
sub_osm_30_F0_B0,17
sub_osm_30_F0_B1,17
sub_osm_30_F0_B2,17
sub_osm_30_F0_B3,17
sub_osm_30_F0_B4,17
sub_osm_30_F0_B5,17
sub_osm_30_F1_B0,17
sub_osm_30_F1_B1,17
sub_osm_30_F1_B2,17
sub_osm_30_F1_B3,17
sub_osm_30_F1_B4,17
sub_osm_30_F1_B5,17
sub_osm_30_F2_B0,17
sub_osm_30_F2_B1,17
sub_osm_30_F2_B2,17
sub_osm_30_F2_B3,17
sub_osm_30_F2_B4,17
sub_osm_30_F2_B5,17
sub_osm_30_F3_B0,17
sub_osm_30_F3_B1,17
sub_osm_30_F3_B2,17
sub_osm_30_F3_B3,17
sub_osm_30_F3_B4,17
sub_osm_30_F3_B5,17
sub_capoocan_substation_31_F0_B0,49
sub_capoocan_substation_31_F0_B1,49
sub_capoocan_substation_31_F0_B2,49
sub_capoocan_substation_31_F0_B3,49
sub_capoocan_substation_31_F0_B4,49
sub_capoocan_substation_31_F0_B5,49
sub_capoocan_substation_31_F1_B0,49
sub_capoocan_substation_31_F1_B1,49
sub_capoocan_substation_31_F1_B2,49
sub_capoocan_substation_31_F1_B3,49
sub_capoocan_substation_31_F1_B4,49
sub_capoocan_substation_31_F1_B5,49
sub_capoocan_substation_31_F3_B0,49
sub_capoocan_substation_31_F3_B1,49
sub_capoocan_substation_31_F3_B2,49
sub_capoocan_substation_31_F3_B3,49
sub_capoocan_substation_31_F3_B4,49
sub_capoocan_substation_31_F3_B5,49
sub_lonoy_substation_44_F0_B0,38
sub_lonoy_substation_44_F0_B1,38
sub_lonoy_substation_44_F0_B2,38
sub_lonoy_substation_44_F0_B3,38
sub_lonoy_substation_44_F0_B4,38
sub_lonoy_substation_44_F0_B5,38
sub_lonoy_substation_44_F1_B0,38
sub_lonoy_substation_44_F1_B1,38
sub_lonoy_substation_44_F1_B2,38
sub_lonoy_substation_44_F1_B3,38
sub_lonoy_substation_44_F1_B4,38
sub_lonoy_substation_44_F1_B5,38
sub_lonoy_substation_44_F2_B0,38
sub_lonoy_substation_44_F2_B1,38
sub_lonoy_substation_44_F2_B2,38
sub_lonoy_substation_44_F3_B0,38
sub_lonoy_substation_44_F3_B1,38
sub_lonoy_substation_44_F3_B2,38
sub_lonoy_substation_44_F3_B3,38
sub_lonoy_substation_44_F3_B4,38
sub_lonoy_substation_44_F3_B5,38
sub_siquijor_island_power_corporation_substation_76_F0_B0,36
sub_siquijor_island_power_corporation_substation_76_F0_B1,36
sub_siquijor_island_power_corporation_substation_76_F0_B2,36
sub_siquijor_island_power_corporation_substation_76_F0_B3,36
sub_siquijor_island_power_corporation_substation_76_F0_B4,36
sub_siquijor_island_power_corporation_substation_76_F0_B5,36
sub_siquijor_island_power_corporation_substation_76_F1_B0,36
sub_siquijor_island_power_corporation_substation_76_F1_B1,36
sub_siquijor_island_power_corporation_substation_76_F1_B2,36
sub_siquijor_island_power_corporation_substation_76_F1_B3,36
sub_siquijor_island_power_corporation_substation_76_F1_B4,36
sub_siquijor_island_power_corporation_substation_76_F1_B5,36
sub_siquijor_island_power_corporation_substation_76_F2_B0,36
sub_siquijor_island_power_corporation_substation_76_F2_B1,36
sub_siquijor_island_power_corporation_substation_76_F2_B2,36
sub_siquijor_island_power_corporation_substation_76_F2_B3,36
sub_siquijor_island_power_corporation_substation_76_F2_B4,36
