scenario,bus_id,line_id,vm_pu,va_degree,loading_percent,p_from_mw,p_to_mw,convergence_mode
off_peak,sub_cadiz_substation_56,,0.9818026233374061,19.694007531821352,,,,nr
off_peak,tower_0001,,0.9861937935650382,21.310814986638004,,,,nr
off_peak,tower_0003,,1.0195196742492014,-0.033364938014820496,,,,nr
off_peak,tower_0005,,1.018274894559366,-0.15584157282579753,,,,nr
off_peak,tower_0006,,1.018274894559366,-0.15584157282579744,,,,nr
off_peak,sub_cebu_city_substation_14,,0.9745052762198503,16.705406472135138,,,,nr
off_peak,sub_compostela_substation_15,,0.9729713159861012,14.696506527027742,,,,nr
off_peak,sub_naga_substation_16,,0.9752330795436347,18.925796093963903,,,,nr
off_peak,tower_0007,,0.9757110015279401,19.023455674991666,,,,nr
off_peak,tower_0008,,0.9752330795436347,18.925796093963903,,,,nr
off_peak,tower_0011,,0.9823338200969443,8.460873046553338,,,,nr
off_peak,sub_tabango_substation_57,,0.9755356969565077,10.570544325961686,,,,nr
off_peak,tower_0012,,0.870310694850451,-7.774330950013799,,,,nr
off_peak,sub_osm_13,,0.8703106948504759,-7.774330950014047,,,,nr
off_peak,tower_0019,,1.0110839057440237,0.6507483188926674,,,,nr
off_peak,sub_maasin_substation_19,,1.0111324601831306,0.6552210572686885,,,,nr
off_peak,tower_0020,,1.0110796878653843,0.6450237405652315,,,,nr
off_peak,tower_0021,,1.0110796878653843,0.6450237405652315,,,,nr
off_peak,sub_milagro_substation_104,,1.02,0.0,,,,nr
off_peak,tower_0022,,1.019939286976047,-0.00043119855112683746,,,,nr
off_peak,tower_0023,,0.9797039797707378,20.69585448730697,,,,nr
off_peak,sub_daanbantayan_cable_terminal_27,,0.9786331327117878,11.175259263255432,,,,nr
off_peak,sub_suba_cable_terminal_29,,0.9874580523559042,23.127397447107885,,,,nr
off_peak,sub_osm_83,,0.9916963813487729,21.705426270728438,,,,nr
off_peak,sub_magdugo_substation_72,,0.9730157731143935,16.765838187647557,,,,nr
off_peak,sub_national_grid_corporation_of_the_philippines_34,,1.0026054185675883,-1.225560002622029,,,,nr
off_peak,tower_0025,,1.0025589500459013,-1.227742977939839,,,,nr
off_peak,sub_bio_os_cable_terminal_66,,0.9918315472952711,23.49475817230914,,,,nr
off_peak,sub_paranas_substation_47,,1.004882051771115,-1.0630210448428592,,,,nr
off_peak,tower_0029,,0.9883753942269987,21.67833891492226,,,,nr
off_peak,tower_0030,,0.9883753942269987,21.67833891492226,,,,nr
off_peak,sub_amlan_substation_33,,0.9930669663091423,23.757562504212444,,,,nr
off_peak,tower_0034,,0.9996319696170903,24.881076656896795,,,,nr
off_peak,tower_0035,,1.0139531346425181,-0.44474594941747064,,,,nr
off_peak,sub_cabacungan_cable_terminal_36,,1.0195196742492014,-0.03336493801482057,,,,nr
off_peak,tower_0037,,0.8703106948504759,-7.774330950014047,,,,nr
off_peak,tower_0038,,0.8703106948504759,-7.774330950014047,,,,nr
off_peak,sub_babatngon_substation_20,,1.0183220915137379,-0.15365859750798685,,,,nr
off_peak,sub_ubay_substation_54,,0.9888564214268379,6.24053378715806,,,,nr
off_peak,sub_tugas_terminal_submerged_ngcp_lines_58,,1.0085984498325298,1.8191259001146027,,,,nr
